CpdID,type,SMILES,UMAP1,UMAP2,id,UMAP1-opt,UMAP2-opt,QED
Benzimidazole 1 (2015),R-BIND2,O=[N+]([O-])c1ccc2[nH]c(CCCc3nc4cc([N+](=O)[O-])ccc4[nH]3)nc2c1,3.141198397,2.593728304,329,0.25813195,12.128419,0.394987175
Benzimidazole 16 (2015),R-BIND2,O=C(Nc1ccc(-c2nc3cc(NC(=O)c4ccco4)ccc3[nH]2)cc1)c1ccco1,3.833801031,1.856701732,330,-2.920346,17.023617,0.379147181
Benzimidazole 17 (2015),R-BIND2,O=C(Nc1ccc(-c2nc3ccccc3[nH]2)cc1)c1ccc(-c2ccc(Cl)cc2)o1,3.813746691,1.702740669,331,-2.8603735,16.336042,0.358015133
H1,R-BIND2,Nc1cccc(-c2nc3cc(-c4ccc5[nH]c(-c6cccc(N)c6)nc5c4)ccc3[nH]2)c1,3.797445059,3.211906672,332,-3.278488,17.2498,0.281311795
Lomofungin,R-BIND2,COC(=O)c1ccc(=O)c2nc3c(=CO)c(=O)cc(O)c3[nH]c12,6.003124237,1.661837578,333,17.968922,2.9935877,0.423671628
Naphthyridine 2,R-BIND2,N#Cc1c(N2CCCC2)nc(N)c2c(N)nc(N3CCCC3)cc12,1.154279828,0.64556855,334,2.971641,-9.736134,0.86803613
p1,R-BIND2,O=C(Nc1ccccn1)c1cccc(OCc2cscn2)c1,4.737084389,0.596705377,335,20.473534,6.2002683,0.784400246
p7,R-BIND2,O=C(Nc1ccc(NC(=O)c2ccc(F)cc2)nc1)c1ccncc1,3.909129858,1.738577366,336,19.300234,6.19146,0.766572527
Pyrvinium,R-BIND2,Cc1cc(/C=C/c2ccc3cc(N(C)C)ccc3[n+]2C)c(C)n1-c1ccccc1,0.560354233,1.188593507,337,16.82067,16.12682,0.435793471
NVS-SM1,R-BIND2,CC1(C)CC(Oc2ccc(-c3ccc(-c4cn[nH]c4)cc3O)nn2)CC(C)(C)N1,2.482093573,-1.646178246,338,10.220416,12.547255,0.621569709
NVS-SM2,R-BIND2,CN(c1ccc(-c2ccc(-c3cn[nH]c3)cc2O)nn1)C1CC(C)(C)NC(C)(C)C1,2.218009949,-1.65253222,339,10.419826,13.011662,0.607090898
IRAB,R-BIND2,CN(C)CCCn1c(N)nc2ccc3oc(CN(C)C)cc3c21,0.137441993,-0.723490417,340,13.305675,10.395009,0.756457289
Benzimidazole 3,R-BIND2,CN(C)CCCOc1ccc2nc(N)n(CCCN(C)C)c2c1,0.285198957,-0.99414748,341,6.844026,-3.3009806,0.715460265
Benzimidazole 10,R-BIND2,CN(C)CCCOc1ccc2nc3n(c2c1)CC(CN(C)C)CN3,0.344920903,-0.841050744,342,6.981095,-4.211977,0.78613196
Benzimidazole 11 / Isis-11,R-BIND2,CN(C)CCCn1c(N)nc2ccc3c(c21)CC(CCN(C)C)O3,0.201452896,-0.92070204,343,7.7257,-3.6970544,0.838601249
Benzimidazole 12,R-BIND2,CN(C)CCCn1c(N)nc2ccc3c(c21)CC(CN(C)C)CO3,0.272319376,-0.865890443,344,7.54785,-4.0834885,0.872659061
Benzimidazole 13 / Isis-13,R-BIND2,CN(C)CC1COc2ccc3nc4n(c3c2C1)CC(CN(C)C)CN4,0.267870218,-0.822178602,345,7.7072678,-4.6450634,0.9164003
Isis-22,R-BIND2,CN(C)CC1CNc2nc3ccc4c(c3n2C1)CC(CN(C)C)O4,0.297914088,-0.832388043,346,7.700228,-4.202313,0.92108858
DB213,R-BIND2,CN(C)CCCN=C(N)c1ccc(C(=N)NCCCN(C)C)cc1,2.047855616,2.090673447,347,6.273122,-3.1148012,0.341719104
Clomiphene,R-BIND2,CCN(CC)CCOc1ccc(/C(=C(/Cl)c2ccccc2)c2ccccc2)cc1,0.488217384,-0.189138263,348,17.838749,14.699596,0.373428322
Cyproheptadine,R-BIND2,CN1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1,0.590681791,0.45907861,349,23.88162,13.105973,0.579164562
4478-7480,R-BIND2,CCc1nc2sc(C(=O)Nc3cccc(C(F)(F)F)c3)c(N)c2cc1C,4.056985855,1.300300121,350,16.93815,7.324945,0.671341514
Aminoquinolone 7a,R-BIND2,CC(C)(C)n1cc(C(=O)O)c(=O)c2cc(N)c(N3CCN(c4ccccn4)CC3)cc21,1.802449822,-2.107512236,351,3.0158298,11.068272,0.626687365
